acceptedAnswerId,acceptedAnswerScore,averageLengthOfCodeSnippet,englishNumChars,englishNumWords,numQuestionMarks,numberImages,numberLinks,numberOfCodeSnippets,totalLinesOfCode,viewCount
3996930,0,0,100,19,1,0,0,0,0,770758
22682,0,0,517,95,1,0,0,0,0,585546
3289606,0,0,44,9,1,0,0,0,0,635148
73673,0,0,89,19,1,0,0,0,0,739544
5844692,0,0,409,70,2,0,0,0,0,628682
845081,0,5,196,37,2,0,0,1,5,405429
1323426,0,3,33,6,0,0,0,2,6,337627
303225,0,0,228,40,1,0,0,0,0,353280
6618176,0,8,161,27,1,0,0,2,16,302474
8933290,0,2,87,17,0,0,0,1,2,444280
1550235,0,0,62,11,1,0,0,0,0,269472
5178698,0,75,53,11,1,0,0,1,75,325673
13485766,0,1,145,27,0,0,0,2,2,557958
2970722,0,0,550,88,5,0,1,0,0,164924
39501288,99,0,224,35,1,0,0,0,0,389027
1155647,747,0,128,23,1,0,0,0,0,440146
18946824,566,0,430,71,2,0,5,0,0,110932
209854,937,1.6666666666666667,133,23,1,0,0,3,5,275485
192365,303,0,145,28,0,0,1,0,0,359789
14268804,343,0,4392,744,0,0,0,0,0,143560
1207461,0,3,200,38,1,0,0,1,3,227134
1267892,0,1,257,56,1,0,0,1,1,403443
6964760,0,13.444444444444445,1544,246,6,0,2,9,121,101163
30216156,0,0,1039,188,2,0,1,0,0,56986
2682752,0,0,166,29,1,0,0,0,0,493802
600612,718,0,232,48,1,0,0,0,0,207134
14753678,708,0,761,134,3,0,1,0,0,66035
110826,0,0,374,64,0,0,3,0,0,140470
9890599,0,14,309,61,1,0,1,1,14,533286
10660443,850,8,533,98,0,0,0,2,16,366676
3940144,592,2,102,21,1,0,0,1,2,633330
10429168,215,5.25,535,84,1,0,0,4,21,372573
480227,0,6,333,59,1,0,3,1,6,379921
94962,0,2,164,30,0,0,0,1,2,225583
3501408,0,0,48,9,1,0,0,0,0,553584
44842,227,0,133,26,1,0,0,0,0,123294
1769475,532,0,211,44,5,0,0,0,0,349990
12950101,0,0,57,9,1,0,0,0,0,347539
437591,435,4,145,26,1,0,0,1,4,336054
730778,0,4,137,26,2,0,0,1,4,719933
518038,825,1,95,18,2,0,1,1,1,1031055
209550,657,0,81,19,1,0,0,0,0,489164
325528,433,0,96,11,1,0,0,0,0,377995
4015466,0,2,134,26,1,0,0,1,2,143773
193181,0,0,621,89,7,0,0,0,0,176403
3277407,0,12,452,77,3,0,1,1,12,146356
843293,0,4,112,18,1,0,0,1,4,446060
17330273,547,13.5,492,97,1,0,1,2,27,220447
9001529,0,0,121,24,1,0,0,0,0,611188
1485854,0,0,313,48,2,0,0,0,0,461167
8609425,0,0,231,41,1,0,0,0,0,98509
7943768,655,0,36,7,1,0,0,0,0,132224
4028943,0,1,220,37,1,0,0,1,1,158845
120701,0,0,82,16,1,0,0,0,0,463871
2793341,0,2,99,19,1,0,0,2,4,693854
261645,0,0,640,113,1,0,0,0,0,167491
8369345,0,1.6666666666666667,217,46,1,0,0,3,5,495259
21548557,0,0,500,85,2,0,0,0,0,319093
31421411,0,2,112,23,1,0,0,3,6,26523
682513,0,6,469,88,3,0,0,1,6,145044
1247490,0,0,160,27,2,0,0,0,0,106617
134951,0,3,85,15,0,0,0,2,6,315715
4760517,428,6,291,55,1,0,0,1,6,440274
14804320,423,0,119,23,2,0,1,0,0,164976
5450183,634,16.666666666666668,166,27,1,0,0,3,50,239905
1118271,386,0,875,173,3,0,2,0,0,147805
11536794,0,4.666666666666667,234,37,1,0,3,3,14,212126
2485471,0,14,81,14,1,0,0,1,14,796423
10458567,505,10,324,49,2,0,2,2,20,305379
27909082,0,0,574,87,1,0,3,0,0,531477
7961390,0,6,239,49,0,0,0,1,6,556143
3013686,279,1,524,93,4,0,0,2,2,319890
2711073,0,0,352,63,1,0,2,0,0,321154
2982,0,4,869,158,2,0,1,1,4,127997
135114,0,0,15,3,1,0,0,0,0,182314
743186,0,12.666666666666666,358,56,1,0,0,3,38,676334
2104107,382,0,230,44,1,0,0,0,0,289643
12309296,0,2,219,42,1,0,0,2,4,489685
248862,0,0,190,33,1,0,0,0,0,277231
24385103,359,0,112,18,1,0,0,0,0,177623
842096,540,4,573,99,0,0,1,1,4,201187
1154977,0,1.6666666666666667,220,43,1,0,0,3,5,182095
24884342,0,3,297,53,0,0,0,3,9,417492
431715,0,0,112,18,1,0,0,0,0,498034
3371287,0,0,435,80,1,0,0,0,0,172993
4700674,0,0,504,106,0,0,0,0,0,286763
1059596,0,1,287,54,1,0,0,2,2,326640
2967249,0,0,638,123,2,0,0,0,0,477066
159745,0,3,265,42,1,0,0,2,6,197132
441152,632,0,66,14,1,0,1,0,0,228238
988251,644,1,299,60,2,0,0,1,1,303087
1557584,0,0,239,47,0,0,0,0,0,364618
70900,0,5.666666666666667,876,143,4,0,0,6,34,234432
2632687,0,1,307,50,3,0,1,1,1,473064
6504860,0,8,405,75,0,0,2,3,24,219183
9257122,0,2.5,218,36,1,0,0,2,5,577517
678242,548,0,237,48,2,0,0,0,0,390923
3845453,620,2,134,25,1,0,0,1,2,251252
311655,574,3,258,43,1,0,0,3,9,635180
403426,0,2.5,279,50,0,0,0,2,5,215341
4480202,499,1,232,44,0,0,0,1,1,94770
24377,0,0,74,11,1,0,0,0,0,210265
2186565,0,2.5,136,23,0,0,0,2,5,264238
624939,480,0.5,175,34,0,0,0,2,1,117984
944733,0,0,108,22,1,0,0,0,0,355034
1937636,0,0,211,46,2,0,0,0,0,142742
3768975,0,2,119,21,1,0,0,2,4,237006
133024,0,8.5,273,49,3,0,1,2,17,151853
28059785,240,0,104,22,1,0,1,0,0,92386
268285,0,1.5,261,44,1,0,0,2,3,275812
6667288,508,1.6666666666666667,177,29,1,0,0,3,5,1014303
2988117,0,0,607,113,1,0,0,0,0,682068
4344029,0,0,188,31,1,0,0,0,0,404934
4260304,574,1,120,18,1,0,0,1,1,234009
4435752,358,0,93,16,1,0,0,0,0,790559
2921893,0,0,281,52,6,0,1,0,0,83418
4271755,0,0,138,24,0,0,0,0,0,254667
529427,0,0,114,25,0,0,0,0,0,279710
3044626,286,0,188,28,1,0,2,0,0,133517
43663,0,0,207,33,2,0,0,0,0,140379
5142453,407,0,130,25,2,0,0,0,0,251087
976918,0,10,231,46,1,0,0,1,10,386371
433161,0,7,269,53,1,0,1,2,14,309965
51523,0,1,149,28,1,0,0,1,1,322564
1305663,520,4,277,47,1,0,0,2,8,123738
73149,0,8,475,81,2,0,1,1,8,207161
11011846,0,1.5,214,42,0,0,0,2,3,83702
3965129,0,5,61,10,1,0,0,1,5,340172
6798042,0,14,1778,304,3,0,2,4,56,132707
4896288,294,2,395,79,1,0,1,1,2,147255
674369,0,13.5,397,66,2,0,1,2,27,164488
279586,0,6,227,36,3,0,0,1,6,184370
16946886,0,4,734,130,0,0,0,2,8,270021
4426727,557,0,86,18,1,0,1,0,0,359766
255297,0,4,166,31,3,0,0,1,4,209219
855764,0,0,67,13,1,0,0,0,0,167744
129522,0,0,96,16,1,0,0,0,0,145836
1823101,0,0,381,67,1,0,0,0,0,175453
1663826,594,3.3333333333333335,208,40,1,0,0,3,10,244667
8270146,758,3,213,37,1,0,0,1,3,686939
1009864,0,0,169,27,1,0,4,0,0,359014
1472014,0,0,73,14,1,0,0,0,0,188178
372121,0,0,70,10,1,0,0,0,0,238736
573659,0,0,775,141,1,0,0,0,0,93751
477635,421,2,183,36,1,0,0,1,2,338181
2802748,684,2.5,399,67,3,0,1,2,5,424757
266162,462,3,58,10,1,0,0,1,3,283709
4617069,0,5,242,44,1,0,0,1,5,109799
24266885,0,7,976,184,2,0,1,1,7,67532
8858026,477,3,131,27,1,0,1,1,3,332605
3430395,0,1.5,113,17,1,0,0,2,3,434164
3462160,508,1.5,223,41,1,0,0,2,3,280222
2504457,0,4,190,29,2,0,0,2,8,236165
181557,0,3,347,56,1,0,0,2,6,454976
642895,133,2.5,212,38,1,0,1,4,10,384168
166520,0,0,134,20,1,0,0,0,0,347651
107717,286,0,325,55,3,0,0,0,0,160920
29489919,0,14,814,140,1,0,0,2,28,32105
1112350,0,0,247,44,1,0,0,0,0,213698
20850922,0,0,778,109,2,6,0,0,0,18148
301146,202,5.333333333333333,841,143,0,0,0,3,16,169825
3743240,0,0,78,18,1,0,0,0,0,168515
19305076,452,1,140,22,4,0,2,2,2,173334
10215100,0,0,228,45,1,0,0,0,0,165047
944660,0,1.5,446,86,2,0,0,2,3,154301
2051195,388,0,261,47,1,0,0,0,0,112216
920181,0,0,223,34,1,0,0,0,0,207879
538374,0,2,60,12,1,0,0,1,2,293818
104436,0,9.5,310,48,1,0,0,2,19,322387
1857,0,0,62,14,1,0,0,0,0,114834
483833,419,1,173,30,0,0,0,2,2,160911
22045954,0,0,354,71,0,0,2,0,0,146851
805081,0,13,635,113,1,0,0,1,13,332832
406199,0,1.5,1054,185,1,0,1,6,9,132801
1429145,0,0,106,16,0,0,0,0,0,92843
5893946,447,4,44,10,1,0,0,1,4,116803
645318,467,1,395,82,2,0,0,1,1,343077
715455,0,2,261,54,1,0,1,1,2,248857
1641236,0,6.5,624,106,1,0,0,2,13,207436
427160,400,0,238,49,1,0,1,0,0,75659
5844931,0,0,839,146,1,0,0,0,0,125531
8010133,0,5,467,83,1,0,0,1,5,452092
1207479,0,0,102,17,1,0,0,0,0,545924
7571665,0,3.6666666666666665,853,151,2,0,0,6,22,677106
319435,0,0,331,59,1,0,0,0,0,334117
145436,0,0,114,20,1,0,0,0,0,211322
1835044,0,1,291,61,1,0,0,1,1,352603
712799,0,0,200,31,1,0,0,0,0,73306
3121985,0,2,306,58,2,0,0,1,2,296765
269825,0,0,242,45,2,0,0,0,0,272183
1549644,0,1,68,10,1,0,0,2,2,250862
16476974,455,2.4,458,91,1,0,1,5,12,294449
7286,0,0,525,93,2,0,2,0,0,138891
12944035,0,0,253,51,1,0,0,0,0,223759
12555510,356,4,464,89,0,0,0,2,8,478780
50905,0,0,405,69,1,0,1,0,0,308053
4990739,0,0,54,10,1,0,0,0,0,221115
383953,193,0,216,42,1,0,1,0,0,159743
7604981,0,0,140,27,1,0,0,0,0,329355
2759130,476,0,290,52,0,0,0,0,0,377683
31887,271,0,101,17,1,0,1,0,0,168128
309000,0,0,228,39,1,0,1,0,0,56776
3654936,0,0,43,9,1,0,0,0,0,153098
1523456,0,6,295,45,2,0,0,1,6,198126
2081708,326,0,508,98,5,0,1,0,0,165756
306353,243,10,568,95,3,0,0,1,10,37574
5607708,0,1,53,9,0,0,0,1,1,325444
17071908,572,1,176,31,1,0,0,1,1,320975
25689,0,0,168,32,1,0,1,0,0,184326
2428119,0,20,354,59,0,0,0,2,40,300403
2349998,209,2,449,87,4,0,0,2,4,508069
4041253,330,7,232,42,3,0,1,2,14,361038
9719731,0,5.5,580,105,3,0,2,2,11,102230
222922,0,3,243,43,0,0,0,2,6,135753
2776392,0,8,229,45,1,0,0,1,8,243700
1466036,0,0,325,54,1,0,1,0,0,160073
534847,195,0,198,36,2,0,0,0,0,152794
1206856,0,0,78,15,1,0,0,0,0,182785
2158532,245,4,328,59,3,0,5,3,12,70495
10538412,496,2.5,587,97,1,0,0,2,5,247929
19343,0,3,222,41,1,0,0,1,3,66519
675448,0,0,418,78,1,0,0,0,0,693447
865272,0,9,258,46,2,0,1,1,9,245464
10763461,0,1,176,37,1,0,0,1,1,191304
743823,0,10,197,40,1,0,0,1,10,1007119
8538295,0,1,166,31,1,0,1,2,2,119123
206964,340,0,222,41,1,0,3,0,0,179633
1535336,0,1,467,82,2,0,0,1,1,321589
5458807,0,0,220,35,1,0,0,0,0,336783
6416142,0,2.5,147,27,1,0,0,2,5,735620
492399,325,8,116,16,1,0,0,1,8,591390
434411,200,3,566,100,1,0,1,2,6,58192
11875813,0,3,367,65,1,0,0,1,3,172921
240205,229,1,277,50,1,0,0,4,4,11686
13107,0,4,554,99,2,0,0,2,8,136140
899176,391,1,139,25,1,0,0,1,1,662210
4843172,0,1,219,52,2,0,0,2,2,512025
292502,244,8,508,75,3,0,0,1,8,158531
377463,399,0,60,11,1,0,0,0,0,211731
256260,293,11,409,70,1,0,0,1,11,82427
70833,218,0,153,30,1,0,0,0,0,639982
10109941,0,3,107,19,1,0,0,1,3,130305
452143,0,1.5,74,11,1,0,0,2,3,124559
30100743,0,3.5,720,121,0,0,0,2,7,10954
1098556,0,4,370,74,4,0,0,1,4,210485
7948504,0,0,99,15,1,0,1,0,0,85780
8384788,0,7,179,32,1,0,0,1,7,379107
13891070,0,0,76,15,1,0,0,0,0,474710
947846,259,0,1293,232,2,0,3,0,0,103283
2068548,0,9,256,48,1,0,0,2,18,121248
4481731,0,1,67,14,1,0,0,2,2,415957
16985066,0,0,337,58,1,0,0,0,0,129248
1653974,149,0,42,8,1,0,1,0,0,127415
20101940,396,0,159,30,1,0,1,0,0,132775
24888331,154,1,394,76,2,0,0,2,2,294314
9350788,425,2,585,114,2,0,1,1,2,209700
954840,0,4,156,31,1,0,0,1,4,379887
12836173,373,2,203,38,1,0,0,1,2,305196
3584933,0,7,197,34,1,1,0,1,7,112005
1135035,0,0,73,15,1,0,0,0,0,410174
1113613,0,3.473684210526316,4863,790,0,0,5,19,66,111304
133384,0,0,233,37,2,0,2,0,0,89083
5214587,515,5,159,28,1,0,0,1,5,502931
3939381,363,3,186,32,1,0,0,1,3,575744
9620295,374,11,952,164,4,0,0,1,11,137154
5172833,0,0,266,43,1,0,1,0,0,71848
994010,0,0,569,103,3,0,1,0,0,71249
29456463,216,0,208,38,1,0,0,0,0,101089
6269785,0,1,743,135,3,0,2,1,1,146134
1006301,0,0,166,30,0,0,0,0,0,101679
5626250,0,0,164,23,3,0,0,0,0,79022
22322645,0,56.5,235,40,0,0,0,2,113,53722
8822377,0,0,136,20,2,0,0,0,0,156259
9542768,594,3,217,41,1,0,0,1,3,725573
1405971,0,0,117,24,0,0,2,0,0,172144
189685,0,7,373,66,2,0,0,1,7,175403
1176023,0,2,8,0,0,0,0,1,2,72115
2633310,179,0,569,95,2,0,0,0,0,113007
19483025,472,7,269,53,0,0,0,2,14,355190
714070,51,5,274,51,1,0,0,1,5,224616
1708610,0,1,238,45,2,0,0,1,1,178607
3012921,0,0,519,89,6,0,0,0,0,59233
492711,0,3.5,630,101,3,0,0,2,7,122082
7368801,551,1,108,20,0,0,2,2,2,406468
773472,0,5,430,74,2,0,0,1,5,48805
3097896,0,1,88,18,1,0,0,1,1,214268
47826,0,5,96,14,1,0,0,1,5,77426
8689983,0,0,236,40,2,0,0,0,0,130680
25176504,118,8,656,119,3,0,0,3,24,96217
642169,0,2,227,44,0,0,0,2,4,937537
28889838,0,6,156,24,0,0,0,2,12,15801
36156,0,0,73,12,1,0,0,0,0,338257
23294659,324,6,363,66,2,0,0,1,6,146872
1774043,333,0,38,8,1,0,0,0,0,155055
93179,0,0,62,12,1,0,0,0,0,125627
1017937,0,0,734,119,3,0,1,0,0,86781
6921760,0,0,269,59,3,0,0,0,0,57612
4172465,324,0,137,28,1,0,1,0,0,320656
7065242,0,9,1428,260,0,0,1,3,27,122315
606858,0,0,309,47,1,0,0,0,0,141423
195144,111,0,1019,170,1,0,2,0,0,71264
5676676,0,1.5,200,39,1,0,0,2,3,202672
1810760,0,0,51,8,1,0,0,0,0,243836
3975388,583,6,610,114,2,0,0,2,12,110892
577241,0,2.6666666666666665,164,28,1,0,0,3,8,103468
6392768,0,0,224,44,0,0,0,0,0,91165
6501134,322,0,122,21,1,0,0,0,0,154788
8023337,0,6,300,60,0,0,0,1,6,504191
1400622,423,1,82,16,1,0,0,1,1,250112
4142178,373,4.5,217,30,2,0,0,2,9,302343
180993,253,0,368,76,1,0,3,0,0,141607
2184521,0,0,1025,158,1,0,16,0,0,24607
12857584,0,10,1139,190,3,0,0,2,20,46183
339220,0,1.75,557,113,3,0,0,4,7,733705
15112149,333,7,252,44,1,0,0,2,14,55438
3459131,0,1,325,60,2,0,0,1,1,183405
151211,0,0,92,20,1,0,0,0,0,183880
432289,0,3,125,22,1,0,0,1,3,268622
775075,0,0,188,32,1,0,0,0,0,150511
11287278,0,2.5,194,39,1,0,0,2,5,328274
119576,204,0,472,83,4,0,0,0,0,128595
27425458,370,17,104,21,1,0,0,1,17,201368
3908349,408,1,313,55,1,0,0,1,1,179717
1369553,182,4,56,8,1,0,1,1,4,157373
175130,0,0,437,74,0,0,0,0,0,131282
3278104,0,0,117,23,1,0,1,0,0,65798
128577,0,5.5,325,52,2,0,1,2,11,48855
3782998,0,30,453,69,2,0,1,1,30,226769
7143496,0,0,386,74,2,0,2,0,0,155543
23842752,0,7.5,248,47,1,0,1,2,15,189202
1697907,0,0,145,28,1,0,0,0,0,135164
7585619,0,3,197,36,2,0,1,1,3,308941
699891,0,0,217,38,1,0,0,0,0,243133
